ID,ratio,Atomic_Number,Atomic_Weight,Atomic Radius,Mulliken EN,polarizability(A^3),electron affinity(kJ/mol)
460,0.034482759,30,65.58,1.42,3.69,7.08,-60
461,0.076923077,29,63.55,1.45,4.48,6.1,119
462,0.111111111,26,55.85,1.56,4.03,7.5,15
463,0.111111111,27,58.93,1.52,4.27,6.8,64
464,0.125,67,165,2.26,3.55,23,33
465,0.043478261,19,39.1,2.43,2.42,43.4,48
466,0.043478261,19,39.1,2.43,2.42,43.4,48
467,0.071428571,48,112.4,1.61,3.8,6,-70
468,0.047619048,38,87.62,2.19,2.87,27.6,5
469,0.035714286,30,65.58,1.42,3.69,7.08,-60
470,0.046511628,64,157,2.33,3.45,26,13
471,0.046511628,57,139,2.26,3.02,37,54
472,0.024390244,30,65.58,1.42,3.69,7.08,-60
473,0.024390244,30,65.58,1.42,3.69,7.08,-60
474,0.023809524,30,65.58,1.42,3.69,7.08,-60
475,0.023809524,30,65.58,1.42,3.69,7.08,-60
476,0.022727273,30,65.58,1.42,3.69,7.08,-60
477,0.022727273,30,65.58,1.42,3.69,7.08,-60
478,0.046153846,29,63.55,1.45,4.48,6.1,119
479,0.02,48,112.4,1.61,3.8,6,-70
480,0.095238095,25,54.94,1.61,3.47,8.6,-50
481,0.037037037,26,55.85,1.56,4.03,7.5,15
482,0.020408163,30,65.58,1.42,3.69,7.08,-60
483,0.042553191,64,157,2.33,3.45,26,13
484,0.058823529,30,65.58,1.42,3.69,7.08,-60
485,0.117647059,25,54.94,1.61,3.47,8.6,-50
486,0.044444444,30,65.58,1.42,3.69,7.08,-60
487,0.048780488,30,65.58,1.42,3.69,7.08,-60
488,0.036144578,30,65.58,1.42,3.69,7.08,-60
489,0.038461538,58,140,2.1,3.25,36,55
490,0.038461538,59,141,2.47,3.22,34,11
491,0.038461538,60,144,2.06,3.25,32,9
492,0.038461538,62,150.5,2.38,3.35,29,16
493,0.038461538,64,157,2.33,3.45,26,13
494,0.038461538,39,88.91,2.12,3.26,22,30
495,0.022222222,28,58.69,1.49,4.4,6.5,112
496,0.028571429,30,65.58,1.42,3.69,7.08,-60
497,0.022222222,48,112.4,1.61,3.8,6,-70
