Order,PLD,LCD,Void,Surface[m^2/g],Pore_Volume[cm^3/g],Density[cm^3/g]
379,4.94219,6.72714,0.255346,212.952202,0.24126607,0.944859389
380,4.91207,6.55707,0.250216,159.436588,0.22734818,0.908607665
381,4.97788,6.68797,0.264369,191.839547,0.23778974,0.899461508
382,4.58593,5.94871,0.217509,175.373429,0.1857332,0.853910421
383,4.96288,6.66472,0.253035,188.592458,0.22342698,0.882988458
384,4.83762,6.61076,0.252978,184.544596,0.21766625,0.860415742
385,3.77988,4.92533,0.0639354,0,0.04242956,0.663631716
386,3.53499,4.91,0.0548992,0,0.0357662,0.651488475
387,3.64903,5.07937,0.0597605,0,0.03975763,0.66528283
388,4.91556,8.40609,0.10037,54.689491,0.05814358,0.579292413
389,3.41275,4.48826,0.0862976,0,0.07570103,0.87720903
390,7.09754,7.20874,0.168346,389.18836,0.1650398,0.980360659
391,5.39254,7.28051,0.164696,209.792759,0.15437611,0.937339753
392,4.08747,5.67484,0.135532,14.11742,0.14303547,1.055363123
393,4.98932,6.57541,0.0788763,41.044585,0.0659375,0.835960871
394,5.10344,6.13556,0.0683376,12.916033,0.05985614,0.875888752
395,4.06409,6.74105,0.0840974,21.894938,0.07314683,0.86978703
396,3.82138,4.98583,0.0417963,0,0.03305388,0.790832769
397,4.26846,5.88878,0.118924,0,0.11608048,0.976089623
398,3.51522,4.91972,0.120953,0.612856,0.06685675,0.552749808
399,4.1101,5.09103,0.0759082,0,0.07571674,0.997477775
400,4.15339,4.85816,0.104272,0,0.07386077,0.708347066
401,3.34476,4.2888,0.00831706,0,0.00441851,0.531258275
402,4.93793,6.90682,0.133154,92.14444,0.10548263,0.792185241
403,5.16773,6.48958,0.209098,401.71153,0.24845705,1.188232551
404,6.45578,7.02787,0.1783,248.98288,0.121707,0.682596738
405,5.68889,6.0895,0.156388,0.297187,0.16651392,1.064748724
406,8.39794,9.33438,0.24003,1001.034434,0.31877063,1.328044965
407,8.02395,9.11132,0.223451,762.808531,0.25414405,1.137359213
